,Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
66,Otras actividades de telecomunicaciones,MEDELLIN,ANTIOQUIA,CALLE 48 B 66 65,http://empresite.eleconomistaamerica.co/ENERGIA-PARA-TELECOMUNICACIONES-SAS.html,ENERGIA PARA TELECOMUNICACIONES S A S,ENERGIA-SOLAR,(4)2307276
67,Instalaciones electricas,BELLO,ANTIOQUIA,DIAGONAL 59 31 98,http://empresite.eleconomistaamerica.co/ENERGIA-ELECTRICA-TELECOMUNICACIONES-ENERGELT-SAS.html,ENERGIA ELECTRICA Y TELECOMUNICACIONES ENERGELT SAS,ENERGIA-SOLAR,3207154526
68,Mantenimiento y reparacion especializado de maquinaria y equipo,MEDELLIN,ANTIOQUIA,DIAGONAL 50 49 85 OFICINA 4,http://empresite.eleconomistaamerica.co/ENERGIA-TELECOMUNICACIONES-INGENIERIA-LTDA.html,ENERGIA Y TELECOMUNICACIONES INGENIERIA LTDA,ENERGIA-SOLAR,3137443953
69,Mantenimiento y reparacion especializado de maquinaria y equipo,MEDELLIN,ANTIOQUIA,CALLE 20 A 73 16,http://empresite.eleconomistaamerica.co/ENERGIA-COMPUTADORES-MANTENIMIENTO-LTDA.html,ENERGIA COMPUTADORES Y MANTENIMIENTO S A S,ENERGIA-SOLAR,(4)2563897
70,Instalaciones electricas,MEDELLIN,ANTIOQUIA,CARRERA 85 35 41 INT 1013,http://empresite.eleconomistaamerica.co/ENERGIA-DESARROLLO-PROYECTOS-SAS.html,ENERGIA Y DESARROLLO DE PROYECTOS S A S,ENERGIA-SOLAR,(4)5537802
71,Generacion de energia electrica,CARMEN DE VIBORAL,ANTIOQUIA,VEREDA LA ESPERANZA,http://empresite.eleconomistaamerica.co/ENERGIA-LIMPIA-SOSTENIBLE-SAESP.html,ENERGIA LIMPIA Y SOSTENIBLE S A E S P,ENERGIA-SOLAR,(4)6146824
72,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 49 50 58 OF 409,http://empresite.eleconomistaamerica.co/ENERGIAS-PROTECTORAS-AMBIENTE-SA.html,ENERGIAS PROTECTORAS DEL AMBIENTE S A,ENERGIA-SOLAR,(4)5112050
73,Generacion de energia electrica,MEDELLIN,ANTIOQUIA,CARRERA 43 A 1 85 OF 411,http://empresite.eleconomistaamerica.co/ENERGIA-RENOVABLES-COLOMBIA-ERECOL-SAS.html,ENERGIA RENOVABLES COLOMBIA ERECOL S A S,ENERGIA-SOLAR,3113118467
74,Fabricacion de pilas baterias y acumuladores electricos,MEDELLIN,ANTIOQUIA,CARRERA 67 1 SUR 92,http://empresite.eleconomistaamerica.co/TRONEX-SA.html,TRONEX S A S,ENERGIA-SOLAR,(4)4488090
75,Comercio al por menor de otros articulos domesticos en establecimientos especializados,MEDELLIN,ANTIOQUIA,TRANSVERSAL 38 73 51,http://empresite.eleconomistaamerica.co/CAJA-COLORES-SAS.html,CAJA DE COLORES S A S,ENERGIA-SOLAR,(4)4114723
