Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
,DON MATIAS,ANTIOQUIA,CARRERA 26 A 28 B 03,https://empresite.eleconomistaamerica.co/MILEOS-JEANS-LTDA.html,MILEOS JEANS LTDA,JEANS,
,MEDELLIN,ANTIOQUIA,CARRERA 57 46 25,https://empresite.eleconomistaamerica.co/DOCKER-JEANS-EU.html,DOCKER JEANS E U,JEANS,
,MEDELLIN,ANTIOQUIA,CARRERA 55 49 18,https://empresite.eleconomistaamerica.co/DISTRIBUIDORA-DICALI-JEANS-LTDA.html,DISTRIBUIDORA DICALI JEANS LTDA,JEANS,
,MEDELLIN,ANTIOQUIA,CARRERA 79 A 32 29,https://empresite.eleconomistaamerica.co/VERSEAU-JEANS-WEAR-LTDA.html,VERSEAU JEANS WEAR LTDA,JEANS,
,MEDELLIN,ANTIOQUIA,CALLE 75 75 50 INT 130,https://empresite.eleconomistaamerica.co/CI-CONFORT-JEANS-ASOCIADOS-SA.html,C I CONFORT JEANS ASOCIADOS S A,JEANS,
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 57 61 A 16 2 PISO,https://empresite.eleconomistaamerica.co/MCM-JEANS-GIRALDO-COMPANIA-SCS.html,M C M JEANS GIRALDO Y COMPANIA S C S,JEANS,(4)2934722
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 57 28 23 PISO 2,https://empresite.eleconomistaamerica.co/JYD-JEANS-LTDA.html,J Y D JEANS LTDA,JEANS,(4)2659977
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 46 30 17 INT 301,https://empresite.eleconomistaamerica.co/LE-JEANS-SAS.html,LE JEANS S A S,JEANS,(4)2327414
,ITAGUI,ANTIOQUIA,CALLE 79 52 A 99,https://empresite.eleconomistaamerica.co/MACK-JEANS-901-SAS.html,MACK JEANS 901 S A S,JEANS,
Comercio al por mayor de productos alimenticios,MEDELLIN,ANTIOQUIA,CARRERA 43 A 1 SUR 100,https://empresite.eleconomistaamerica.co/CI-ANAMA-JEANS-SAS.html,COMERCIALIZADORA INTERNACIONAL ARCA GOLD S A,JEANS,(4)4799784
Comercio al por mayor de prendas de vestir,MEDELLIN,ANTIOQUIA,CARRERA 52 6 SUR 91,https://empresite.eleconomistaamerica.co/CYF-INTERNATIONAL-SAS.html,C&F INTERNATIONAL S A S,ROPA-INTERIOR-MASCULINA,(4)4449141
,SABANETA,ANTIOQUIA,CARRERA 49 61 SUR 540,https://empresite.eleconomistaamerica.co/TIENDAS-ROPA-INTIMA-SA.html,TIENDAS DE ROPA INTIMA S A,ROPA-INTERIOR-MASCULINA,
,MEDELLIN,ANTIOQUIA,CALLE 72 64 C 54,https://empresite.eleconomistaamerica.co/LEMUR-700-SA.html,LEMUR 700 S A,ROPA-INTERIOR-MASCULINA,
,LA ESTRELLA,ANTIOQUIA,CARRERA 48 98 A SUR 500,https://empresite.eleconomistaamerica.co/COMPANIA-INTERNACIONAL-SOLUCIONES-CREATIVAS-SA.html,COMPANIA INTERNACIONAL DE SOLUCIONES CREATIVAS S A S,ROPA-INTERIOR-MASCULINA,
Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas o tabaco,ENVIGADO,ANTIOQUIA,CARRERA 48 32 B SUR 139,https://empresite.eleconomistaamerica.co/ALMACENES-EXITO-SA.html,ALMACENES EXITO S A,ROPA-INTERIOR-MASCULINA,(4)6049696
,MEDELLIN,ANTIOQUIA,CARRERA 43 A 31 159,https://empresite.eleconomistaamerica.co/KIBYS-SAS.html,KIBYS S A S,ROPA-INTERIOR-MASCULINA,
,SABANETA,ANTIOQUIA,CARRERA 46 B 70 SUR 18,https://empresite.eleconomistaamerica.co/COMERCIALIZADORA-ROPA-INTERIOR-FEMENINA-MUJER-VIVAZ-LTDA.html,COMERCIALIZADORA DE ROPA INTERIOR FEMENINA MUJER VIVAZ LTDA,ROPA-INTERIOR-MASCULINA,
,MEDELLIN,ANTIOQUIA,CARRERA 81 54 23 BARRIO CA,https://empresite.eleconomistaamerica.co/CREACIONES-ROPA-INTERIOR-EXTERIOR-OTTO-SERGIO-SAS.html,CREACIONES DE ROPA INTERIOR Y EXTERIOR OTTO Y SERGIO S A S,ROPA-INTERIOR-MASCULINA,
