Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Educacion media tecnica y de formacion laboral,GIRARDOTA,ANTIOQUIA,CARRERA 16 7 174,http://empresite.eleconomistaamerica.co/LEARNING-ENGLISH-SCHOOL-SAS.html,LEARNING ENGLISH SCHOOL S A S,MACHINE-LEARNING,(4)2893046
Otros tipos de educacion n c p,MEDELLIN,ANTIOQUIA,CALLE 12 A 30 58,http://empresite.eleconomistaamerica.co/LEARNING-BY-PLAYING-ABC-LTDA.html,LEARNING BY PLAYING A B C LTDA,MACHINE-LEARNING,(4)2680252
Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,MEDELLIN,ANTIOQUIA,CALLE 42 72 81 INT 301,http://empresite.eleconomistaamerica.co/MACHINETECK-SERVICES-SAS.html,MACHINETECK SERVICES S A S,MACHINE-LEARNING,(4)4165295
Actividades teatrales,MEDELLIN,ANTIOQUIA,CALLE 25 A 43 B 264,http://empresite.eleconomistaamerica.co/MACHINE-PRODUCTIONS-LTDA.html,MACHINE PRODUCTIONS LTDA,MACHINE-LEARNING,(4)2327673
Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,APARTADO,ANTIOQUIA,CARRERA 100 CL 43 770 ZF,http://empresite.eleconomistaamerica.co/MACHINERY-ZONA-FRANCA-SAS.html,MACHINERY ZONA FRANCA S A S,MACHINE-LEARNING,3207269476
Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n c p,APARTADO,ANTIOQUIA,CALLE 103 97 54,http://empresite.eleconomistaamerica.co/MACHINERY-CONNECTION-SAS.html,MACHINERY CONNECTION S A S,MACHINE-LEARNING,3207269476
Comercio al por mayor de maquinaria y equipo agropecuarios,MEDELLIN,ANTIOQUIA,CALLE 29 70 24 AP 102,http://empresite.eleconomistaamerica.co/MACHINERY-AND-TOOLS-COLOMBIA-SAS.html,MACHINERY AND TOOLS COLOMBIA S A S,MACHINE-LEARNING,(4)2564648
Educacion media tecnica y de formacion laboral,MEDELLIN,ANTIOQUIA,CALLE 49 41 09,http://empresite.eleconomistaamerica.co/CESDE-SA.html,CESDE S A,MACHINE-LEARNING,(4)4808822
Otros tipos de educacion n c p,MEDELLIN,ANTIOQUIA,CARRERA 43 A CALLE 1 SUR 220,http://empresite.eleconomistaamerica.co/FRANKLIN-LEARNING-CENTERS-SAS.html,FRANKLIN LEARNING CENTERS S A S,MACHINE-LEARNING,(4)4486990
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,LA ESTRELLA,ANTIOQUIA,CARRERA 48 99 SUR 59 BG 13,http://empresite.eleconomistaamerica.co/MY-EASY-LEARNING-SAS.html,MY EASY LEARNING S A S,MACHINE-LEARNING,(4)4440614
